"O"	"E"
"1"	5	2.53
"2"	7	3.94
"3"	0	3.09
"4"	0	2.75
"5"	8	3.81
"6"	5	3.66
"7"	1	4.05
"8"	10	3.07
"9"	3	3.42
"10"	5	4.24
"11"	4	3.9
"12"	7	3.58
"13"	3	3.68
"14"	6	3.19
"15"	1	5.15
"16"	5	3.75
"17"	4	3.37
"18"	6	4.52
"19"	3	1.94
"20"	3	3.47
"21"	2	3.48
"22"	2	3.32
"23"	9	4.52
"24"	8	9.2
"25"	6	10.37
"26"	10	8.08
"27"	9	6.66
"28"	15	7.7
"29"	14	9.79
"30"	12	9.77
"31"	11	10.17
"32"	23	9.93
"33"	12	9.53
"34"	4	10.59
"35"	27	7.64
"36"	10	7.03
"37"	10	4.09
"38"	10	7.66
"39"	13	8.02
"40"	10	6.78
"41"	7	9.85
"42"	13	7.98
"43"	16	8.14
"44"	4	4.07
"45"	9	7.54
"46"	4	7.04
"47"	13	7.99
"48"	4	8.1
"49"	10	5.69
"50"	12	6.37
"51"	18	8.2
"52"	13	6.52
"53"	25	4.68
"54"	5	9.11
"55"	12	11.28
"56"	6	6.18
"57"	5	4.79
"58"	2	4.98
"59"	3	6.47
"60"	6	5.43
"61"	4	6.51
"62"	4	4.44
"63"	6	6.69
"64"	1	5.55
"65"	5	6.24
"66"	9	5.27
"67"	7	5.61
"68"	1	5.31
"69"	5	6.92
"70"	1	5.17
"71"	4	5.13
"72"	3	3.73
"73"	3	6.18
"74"	2	9.44
"75"	3	7.3
"76"	9	7.63
"77"	5	11.66
"78"	9	6.52
"79"	19	6.64
"80"	4	10.64
"81"	12	7.15
"82"	1	8.76
"83"	2	7.48
"84"	8	6.06
"85"	6	6.36
"86"	4	7.98
"87"	2	8.92
"88"	4	9.07
"89"	8	6.2
"90"	4	7.37
"91"	6	6.68
"92"	7	8.62
"93"	4	8.05
"94"	10	5.97
"95"	4	8.65
"96"	7	7.04
"97"	8	8.91
"98"	12	5.95
"99"	12	7.5
"100"	8	9.11
"101"	6	10.59
"102"	2	7.64
"103"	7	8.91
"104"	7	8.72
"105"	7	11.7
"106"	4	10.69
"107"	10	7.73
"108"	8	8.52
"109"	3	7.81
"110"	5	9.24
"111"	6	8.25
"112"	9	10.72
"113"	3	10.33
"114"	10	8.19
"115"	9	10.9
"116"	8	7
"117"	9	9.98
"118"	6	10.1
"119"	3	2.33
"120"	1	3.49
"121"	0	0.78
"122"	1	3.59
"123"	1	2.47
"124"	3	4.1
"125"	1	1.82
"126"	0	0.71
"127"	1	1.44
"128"	0	1.76
"129"	2	3.39
"130"	5	2.19
"131"	0	1.66
"132"	0	1.35
"133"	1	2.27
"134"	0	2.11
"135"	0	1.05
"136"	1	2.22
"137"	2	3.24
"138"	4	2.65
"139"	2	3.15
"140"	2	1.94
"141"	3	3.13
"142"	0	1.95
"143"	0	2.16
"144"	1	1.76
